Quiz                           32
Evil Gift Box                   9
LogFile                         7
R                               4
DivX                            1
Piggy Bank                      1
Roulette                        1
Bet                             1
GIFT_CARD                       5
StakeholderBattle               5
Capsule                         3
Evil Proxy                      1
X2_FLASH                        1
Roulette II                     1
Shark                           1
Crowdsale                       2
EarlyTokenSale                  1
USDTUBE                         1
                      
Internal Transactions          56
Race                            5
Underhanded Solidity           12
False Positives                 4
